city,state,agent,address,beds,beds_type,baths,baths_type,parking_units,sqft,sqft_type,list_price,real_price,listing_type,rent_price,rent_price_type,taxes_annual,taxes_annual_type,maintenance,maintenance_type,real_price_type
Perth Amboy,NJ,Paul Misura,702 Harbortown blvd,3,TRUE,2.5,TRUE,2,1685,TRUE ,225000,198000,Normal ,1650,TRUE ,6164,TRUE,250,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,750 Harbortown Blvd,3,TRUE,2.5,TRUE,2,1685,TRUE ,185000,170000,Short Sale ,1800,TRUE ,6164,TRUE,221,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,778 Harbortown Blvd,3,TRUE,2.5,TRUE,2,1685,TRUE ,209900,199405,Normal ,1650,TRUE ,6106,TRUE,221,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,768 Harbortown Blvd,3,TRUE,2.5,TRUE,,1600,TRUE ,,160000,,1650,TRUE ,6164,TRUE,230.67,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,432 Great Beds ct,2,TRUE,2.5,TRUE,,1435,TRUE ,,145000,,1500,TRUE ,6566,TRUE,230.67,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,550 Great Beds Ct,3,TRUE,2.5,TRUE,2,1404,TRUE ,199000,189050,Short Sale ,1600,TRUE ,6968,TRUE,225,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,578 Great Beds Ct,3,TRUE,2.5,TRUE,2,1404,TRUE ,169500,185000,Foreclosure ,1600,TRUE ,6968,TRUE,221,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,446 Great Beds ct,3,TRUE,2,TRUE,2,1403,TRUE ,189000,189000,Foreclosure ,1600,TRUE ,6968,TRUE,210,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,518 Great Beds Ct,2,TRUE,2.5,TRUE,2,1283,TRUE ,,211910,,1500,TRUE ,6164,TRUE,226.17,TRUE ,TRUE 
New Brunswick,NJ,Paul Misura,11 Wilcox Rd,4,TRUE,1.5,TRUE,,1283,TRUE ,220500,220500,Normal ,,,5897,TRUE,,,TRUE 
Perth Amboy,NJ,Paul Misura,480 Great Beds ct,3,TRUE,2.5,TRUE,2,1404,TRUE ,,350000,,1695,TRUE ,7236,TRUE,210,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,474 Great Beds Ct,2,TRUE,2.5,TRUE,1,1132,TRUE ,235000,223250,Normal ,1400,TRUE ,"6,164",TRUE,221,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,482 Great Beds Ct,2,TRUE,1.5,TRUE,2,1132,TRUE ,215000,204250,Normal ,1400,TRUE ,6164,TRUE,160,TRUE ,TRUE 
New Brunswick,NJ,Paul Misura,33 Halstead Rd,4,TRUE,1.5,TRUE,,1132,TRUE ,140099,140099,Normal ,,,7431,TRUE,,,TRUE 
New Brunswick,NJ,Paul Misura,54 Wilcox Rd,3,TRUE,,,,1278,TRUE ,150000,142500,Normal? ,1650,TRUE ,6929,TRUE,,,TRUE 
New Brunswick,NJ,Paul Misura,64 S Pennindton Rd,,,,,,1278,TRUE ,172000,172000,Normal ,,,5635,TRUE,,,TRUE 
Perth Amboy,NJ,Paul Misura,203 Holly Drive,3,TRUE,2.5,TRUE,2,1578,TRUE ,289000,289000,Normal ,,,3759,TRUE,206,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,204 Hidden Village,3,TRUE,2.5,TRUE,0,1440,TRUE ,140000,133000,Short Sale ,,,6383,TRUE,300,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,306 Holly Drive,3,TRUE,2.5,TRUE,2,1578,TRUE ,159900,159900,Normal? ,,,6148,TRUE,335,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,368 Rector St Apt 519,3,TRUE,2.5,TRUE,1,2058,TRUE ,162900,145000,Normal? ,1750,TRUE ,7894,TRUE,463,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,403 Holly Drive,3,TRUE,2.5,TRUE,2,1100,TRUE ,289900,289900,Normal ,,,5390,TRUE,300,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,405 Holly Drive,3,TRUE,2.5,TRUE,2,1578,TRUE ,135000,135000,Normal ,,,6879,TRUE,335,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,406 Holly Drive,4,TRUE,2.5,TRUE,2,1600,TRUE ,139900,139900,Short Sale ,,,7043,TRUE,335,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,502 Holly Drive,4,TRUE,2.5,TRUE,2,1578,TRUE ,135000,135000,Normal ,,,6629,TRUE,335,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,703 Holly Drive,3,TRUE,2.5,TRUE,2,1578,TRUE ,280000,280000,Normal ,,,3513,TRUE,197,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,705 Holly Drive,3,TRUE,2.5,TRUE,2,1400,TRUE ,305000,305000,Normal ,,,3760,TRUE,206,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,712 Holly Drive,4,TRUE,2.5,TRUE,2,1578,TRUE ,315900,315900,Normal ,,,3513,TRUE,196,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,716 Harbortown Blvd,4,TRUE,3.5,TRUE,1,2045,TRUE ,240000,225000,Normal?,,,5896,TRUE,221,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,734 Harbortown Blvd,4,TRUE,3.5,TRUE,2,2045,TRUE ,199900,201000,Foreclosure ,,,6700,TRUE,221,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,782 Harbortown Blvd,4,TRUE,2.5,TRUE,2,1685,TRUE ,225000,213750,Short Sale ,,,6164,TRUE,221,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,802 Holly Drive,4,TRUE,2.5,TRUE,2,1800,TRUE ,169000,169000,Normal? ,,,5390,TRUE,300,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,830 Harbortown Blvd,4,TRUE,3,TRUE,2,2045,TRUE ,214500,203775,Foreclosure ,,,7376,TRUE,251.76,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,844 Harbortown Blvd,4,TRUE,2.5,TRUE,2,1685,TRUE ,209000,215000,Normal ,,,6164,TRUE,221,TRUE ,TRUE 
Piscataway,NJ,Paul Misura,190 Muriel Ave,4,TRUE,2,TRUE,,1432,TRUE ,135000,128250,Normal ,,,,,,,TRUE 
Woodbridge,NJ,Paul Misura,107 CRASKE ST,3,TRUE,1.5,TRUE,1,1596,TRUE ,235000,223250,Normal ,,,8098,TRUE,,,TRUE 
Woodbridge,NJ,Paul Misura,139 SCHODER AVENUE,4,TRUE,1.5,TRUE,0,1763,TRUE ,249500,237025,Normal ,,,9006,TRUE,,,TRUE 
Woodbridge,NJ,Paul Misura,190 FULTON ST,3,TRUE,1.5,TRUE,0,1596,TRUE ,254000,241300,Normal ,,,8712,TRUE,,,TRUE 
Woodbridge,NJ,Paul Misura,199 GROVE AVE,3,TRUE,1.5,TRUE,0,1596,TRUE ,269000,255550,Normal ,,,5514,TRUE,,,TRUE 
Woodbridge,NJ,Paul Misura,289 Main St,4,TRUE,1.5,TRUE,1,1429,TRUE ,146000,138700,Forcelosure ,,,5660,TRUE,,,TRUE 
Woodbridge,NJ,Paul Misura,634 ALMON AVE,4,TRUE,1.5,TRUE,0,1596,TRUE ,249900,237405,Normal ,,,9045,TRUE,,,TRUE 
Woodbridge,NJ,Paul Misura,664 LEWIS ST,4,TRUE,1.5,TRUE,0,1596,TRUE ,274900,261155,Normal ,,,6911,TRUE,,,TRUE 
Woodbridge,NJ,Paul Misura,674 BARRON AVE,3,TRUE,1.5,TRUE,1,1596,TRUE ,324900,308655,Normal ,,,7310,TRUE,,,TRUE 
Edison,NJ,Paul Misura,62 Walnut st,3,TRUE,1,TRUE,2,1400,TRUE ,150000,142500,Normal ,,,5927,TRUE,,,TRUE 
New Brunswick,NJ,Paul Misura,216 George St,6,TRUE,2,TRUE,,2000,TRUE ,279900,265905,Normal ,,,4778,TRUE,,,TRUE 
Perth Amboy,NJ,Paul Misura,40 Fayette Apt 2?,2,TRUE,2,TRUE,0,1289,TRUE ,138900,138900,,,,4864,TRUE,403,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,40 Fayette Apt 5?,2,TRUE,1,TRUE,0,1289,TRUE ,84900,74900,Forcelosure ,,,4567,TRUE,312,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,40 Fayette Apt ?,2,TRUE,2,TRUE,0,1280,TRUE ,114900,102500,,,,4818,TRUE,377,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,40 Fayette Apt ?,2,TRUE,1.5,TRUE,0,1289,TRUE ,114900,107500,Normal ,1500,TRUE ,5169,TRUE,467,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,40 Fayette Apt 7?,2,TRUE,1.5,TRUE,0,1289,TRUE ,68000,68000,,1500,TRUE ,4559,TRUE,334,TRUE ,TRUE 
Edison,NJ,Simon Law,87 Hillcrest Ave,3,TRUE,2.5,TRUE,2,,,159500,159500,Knockdown,,,7621,TRUE,,,TRUE 
Edison,NJ,Simon Law,68 Sturgis Rd,4,TRUE,1,TRUE,0,,,178888,178888,Short Sale,,,5328,TRUE,,,TRUE 
Edison,NJ,Simon Law,27 Pacific St,2,TRUE,1,TRUE,0,,,192500,173250,Normal,,,6512,TRUE,,,TRUE 
Edison,NJ,Simon Law,44 Walnut St,2,TRUE,1,TRUE,0,,,204900,184410,Normal,,,5803,TRUE,,,TRUE 
Edison,NJ,Simon Law,169 Plainfeild,3,TRUE,1,TRUE,1,,,215000,193500,Normal,,,5443,TRUE,,,TRUE 
Edison,NJ,Simon Law,5 Hillcrest Ave,3,TRUE,2,TRUE,1,,,219000,197100,Normal,,,5386,TRUE,,,TRUE 
Edison,NJ,Simon Law,6 Fairfax Rd,3,TRUE,1,TRUE,1,,,222900,200610,Normal,,,5357,TRUE,,,TRUE 
Edison,NJ,Simon Law,38 Runyon Ave,4,TRUE,1,TRUE,1,,,239900,215910,Normal,,,6234,TRUE,,,TRUE 
Edison,NJ,Simon Law,18 Deerwood Ave,3,TRUE,1.5,TRUE,1,,,239900,215910,Normal,,,7628,TRUE,,,TRUE 
Edison,NJ,Simon Law,25 Sturgis Rd,4,TRUE,1,TRUE,0,,,245000,220500,Normal,,,5108,TRUE,,,TRUE 
Edison,NJ,Simon Law,6 Cambridge Rd,3,TRUE,1,TRUE,0,,,249900,224910,Normal,,,6723,TRUE,,,TRUE 
Newark,NJ,Dina Marto,29 Martha Ct,2,TRUE,1,TRUE,0,970,TRUE ,80000,72000,Normal,1400,TRUE ,3500,TRUE,306,TRUE ,TRUE 
Newark,NJ,Tony Weeks,69 Howard,1,TRUE,1,TRUE,1,609,TRUE ,95000,85000,Normal,1150,TRUE ,1726,TRUE,268,TRUE ,TRUE 
Newark,NJ,Dina Marto,46 Boston Ct,2,TRUE,2.5,TRUE,1,1240,TRUE ,179000,161100,Normal,1800,TRUE ,4742,TRUE,250,TRUE ,TRUE 
South Amboy,NJ,Peggy Yanuzzelli,2 Mamie Court,4,TRUE,2,TRUE,1,,,239900,239900,Foreclosure,,,7247,TRUE,,,TRUE 
South Amboy,NJ,Peggy Yanuzzelli,114 Adamecs Way,2,TRUE,2.5,TRUE,1,1500,TRUE ,214900,140000,Foreclosure,1650,TRUE ,6297,TRUE,250,TRUE ,TRUE 
South Amboy,NJ,Peggy Yanuzzelli,47 Raritan Reach Rd,2,TRUE,2.5,TRUE,1,1500,TRUE ,369000,369000,Normal,,,,,265,TRUE ,TRUE 
South Amboy,NJ,Peggy Yanuzzelli,112 N Broadway,2,TRUE,2.5,TRUE,0,1500,TRUE ,269000,269000,Normal,,,5641,TRUE,221,TRUE ,TRUE 
South Amboy,NJ,Peggy Yanuzzelli,122 Adamecs Way,2,TRUE,2.5,TRUE,0,1500,TRUE ,265000,265000,Normal,,,6297,TRUE,250,TRUE ,TRUE 
South Amboy,NJ,Peggy Yanuzzelli,104 N Broadway,2,TRUE,2.5,TRUE,0,1500,TRUE ,260000,260000,Normal,,,5374,TRUE,254,TRUE ,TRUE 
South Amboy,NJ,Peggy Yanuzzelli,103 Adamecs,2,TRUE,2.5,TRUE,0,1500,TRUE ,255000,255000,Normal,,,6297,TRUE,250,TRUE ,TRUE 
South Amboy,NJ,Peggy Yanuzzelli,25 Raritan Reach Rd,2,TRUE,2.5,TRUE,1,1500,TRUE ,359000,359000,Normal,,,9578,TRUE,220,TRUE ,TRUE 
South Amboy,NJ,Peggy Yanuzzelli,20 Raritan Reach Rd,2,TRUE,2.5,TRUE,1,1500,TRUE ,325000,325000,Normal,,,9040,TRUE,220,TRUE ,TRUE 
South Amboy,NJ,Peggy Yanuzzelli,112 N Broadway E,2,TRUE,2.5,TRUE,0,1500,TRUE ,289900,289900,Normal,,,5548,TRUE,247,TRUE ,TRUE 
Newark,NJ,Tony Weeks,31 Wickliffe St,3,TRUE,1.5,TRUE,0,,,170000,170000,,1500,TRUE ,4163,TRUE,,,TRUE 
Newark,NJ,Tony Weeks,"5 Pomona Ave, 4A",1,TRUE,1,TRUE,,570,TRUE ,49900,49900,,600,TRUE ,2589,TRUE,160,TRUE ,TRUE 
Newark,NJ,Tony Weeks,"5 Pomona Ave, 4E",1,TRUE,1,TRUE,0,910,TRUE ,61000,61000,,1000,TRUE ,2589,TRUE,158,TRUE ,TRUE 
Newark,NJ,Tony Weeks,800 Summer Ave,2,TRUE,1,TRUE,1,,,65000,65000,,1000,TRUE ,885,TRUE,175,TRUE ,TRUE 
Newark,NJ,Tony Weeks,786-802 Summer Ave,2,TRUE,1,TRUE,,916,TRUE ,79900,79900,,1000,TRUE ,2775,TRUE,175,TRUE ,TRUE 
Newark,NJ,Tony Weeks,19-31 Lyons Ave 605,1,TRUE,1,TRUE,,,,89900,89900,,1000,TRUE ,3068,TRUE,218,TRUE ,TRUE 
Newark,NJ,Tony Weeks,767 Summer Ave,2,TRUE,1,TRUE,,,,95000,95000,,1000,TRUE ,590,TRUE,232,TRUE ,TRUE 
Newark,NJ,Tony Weeks,19-31 Lyons Ave 404,1,TRUE,1,TRUE,,,,95000,95000,,1000,TRUE ,738,TRUE,243,TRUE ,TRUE 
Newark,NJ,Tony Weeks,43 Seton Hall Dr,3,TRUE,2.5,TRUE,1,1479,TRUE ,175000,175000,Rental Comp,1800,TRUE ,4093,TRUE,274,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,40 Fayette Apt 45,2,TRUE,1.5,TRUE,0,1289,TRUE ,110000,110000,Normal ,,,5473,TRUE,510,TRUE ,TRUE 
Newark,NJ,Tony Weeks,111 Mulberry St,2,TRUE,1,TRUE,0,,,84900,84900,,1500,TRUE ,4850,TRUE,400,TRUE ,TRUE 
Newark,NJ,Tony Weeks,87 Vaughan,3,TRUE,1.5,TRUE,,,,175000,125000,,2000,TRUE ,6250,TRUE,,,TRUE 
Newark,NJ,Tony Weeks,100 Callahan Ct,2,TRUE,1,TRUE,1,,,124000,118000,Normal,,,,,,,TRUE 
Newark,NJ,Tony Weeks,52 Yancy Dr,2,TRUE,1.5,TRUE,1,,,130000,126500,Normal,,,,,,,TRUE 
Newark,NJ,Tony Weeks,22 Rider Ct,2,TRUE,2.5,TRUE,1,,,135000,130000,Normal,,,,,,,TRUE 
Newark,NJ,Tony Weeks,57 Howard St,2,TRUE,2.5,TRUE,1,,,145000,132000,Normal,,,,,,,TRUE 
Newark,NJ,Tony Weeks,204 Matthews Dr,2,TRUE,2.5,TRUE,1,,,159000,156000,Normal,,,,,,,TRUE 
Newark,NJ,Tony Weeks,47 Howard,2,TRUE,2.5,TRUE,1,,,169000,165000,Normal,,,,,,,TRUE 
Newark,NJ,Tony Weeks,22 Rutgers Dr,2,TRUE,2.5,TRUE,1,,,169900,169900,Normal,,,,,,,TRUE 
Newark,NJ,Tony Weeks,11 Vaughan Dr,3,TRUE,1.5,TRUE,,,,110000,121850,Normal,,,,,,,TRUE 
Newark,NJ,Tony Weeks,21 Ashby Ln,3,TRUE,1.5,TRUE,,,,169500,169000,Normal,,,,,,,TRUE 
Newark,NJ,Tony Weeks,13 Rutgers Dr,3,TRUE,2.5,TRUE,,,,169900,130000,Normal,,,5497,TRUE,270,TRUE ,TRUE 
Newark,NJ,Tony Weeks,14 Rutgers Dr,3,TRUE,2.5,TRUE,,,,172000,170000,Normal,,,7698,TRUE,264,TRUE ,TRUE 
Newark,NJ,Tony Weeks,35 Rutgers Dr,3,TRUE,2.5,TRUE,,,,180000,181000,Normal,,,,,275,TRUE ,TRUE 
Newark,NJ,Tony Weeks,"80 Callahan Ct, C2",3,TRUE,1.5,TRUE,,,,187500,180000,Normal,,,,,,,TRUE 
Newark,NJ,Tony Weeks,252 Matthews Dr,3,TRUE,2.5,TRUE,1,,,209000,195000,Normal,,,,,,,TRUE 
Newark,NJ,Tony Weeks,104 Perez Dr,3,TRUE,1.5,TRUE,1,,,229900,214000,Normal,,,,,,,TRUE 
Newark,NJ,Tony Weeks,43 Cornerstone Ln,3,TRUE,3,TRUE,1,2164,TRUE ,245000,235000,Normal,,,6780,TRUE,309,TRUE ,TRUE 
Newark,NJ,Tony Weeks,38 Richmond St,2,TRUE,2.5,TRUE,1,,,169000,169000,Normal,1300,TRUE ,4326,TRUE,309,TRUE ,TRUE 
Newark,NJ,Tony Weeks,54 Richmond St,3,TRUE,2.5,TRUE,0,,,169000,169000,Normal,1500,TRUE ,4766,TRUE,,,TRUE 
Newark,NJ,Tony Weeks,90 Callahan Ct,3,TRUE,1.5,TRUE,0,,,169000,169000,Normal,1600,TRUE ,4092,TRUE,,,TRUE 
Perth Amboy,NJ,Paul Misura,368 Rector St Apt 204,2,TRUE,2,TRUE,2,,,144900,144900,Forcelosure,1800,TRUE ,6840,TRUE,422,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,358 Rector St Apt fl3,2,TRUE,3,TRUE,1,1500,TRUE ,200000,190000,Normal,,,7438,TRUE,350,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,358 Rector St Apt fl2,2,TRUE,3,TRUE,1,1500,TRUE ,200000,190000,Normal,,,7438,TRUE,350,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,358 Rector St Apt 324,2,TRUE,3,TRUE,1,1500,TRUE ,189000,179550,Normal,,,7438,TRUE,430,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,368 Rector St Apt 522,3,TRUE,2,TRUE,1,1710,TRUE ,169000,160550,Normal,,,6700,TRUE,386,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,368 Rector St Apt 203,2,TRUE,2,TRUE,1,1273,TRUE ,135000,128250,Normal,,,6840,TRUE,288,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,358 Rector St Apt 311,3,TRUE,3,TRUE,2,1800,TRUE ,139900,132905,Normal,,,10428,TRUE,663,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,358 Rector St Apt 309,3,TRUE,3,TRUE,2,1800,TRUE ,169900,161405,Normal,,,9851,TRUE,663,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,358 Rector St Apt 611,2,TRUE,2,TRUE,2,1320,TRUE ,135000,128250,Normal,,,9135,TRUE,422,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,368 Rector St Apt 515,3,TRUE,2,TRUE,2,2100,TRUE ,169900,161405,Normal,,,9033,TRUE,503,TRUE ,TRUE 
Perth Amboy,NJ,Paul Misura,358 Rector St Apt 217,2,TRUE,2,TRUE,0,1253,TRUE ,118000,112100,Normal,,,6273,TRUE,345,TRUE ,TRUE 
Newark,NJ,Tony Weeks,44 Howard Ct,1,TRUE,1,TRUE,0,,,110000,110000,Normal,1200,TRUE ,1726,TRUE,268,TRUE ,TRUE 
Newark,NJ,Tony Weeks,33 Krueger Ct,2,TRUE,2.5,TRUE,0,,,144900,144900,Short Sale,1700,TRUE ,1033,TRUE,350,TRUE ,TRUE 
Newark,NJ,Tony Weeks,84 Boston St,3,TRUE,2.5,TRUE,,1800,TRUE ,206000,206000,Rental Comp,2000,TRUE ,5361,TRUE,,,TRUE 
Newark,NJ,Tony Weeks,334 Hunterdon St,4,TRUE,2.5,TRUE,1,2212,TRUE ,189900,189900,,,,4565,TRUE,,,TRUE 
Newark,NJ,Tony Weeks,61 Yancy Dr,3,TRUE,2.5,TRUE,1,,,250000,250000,,,,4376,TRUE,309,TRUE ,TRUE 
Newark,NJ,Tony Weeks,12 Rider Ct,3,TRUE,2.5,TRUE,,,,165000,162000,,,,,,275,TRUE ,TRUE 
Newark,NJ,Tony Weeks,19-31 Lyons Ave 311,1,TRUE,1,TRUE,,,,79000,79000,,1100,TRUE ,738,TRUE,218,TRUE ,TRUE 
Newark,NJ,Tony Weeks,264 Matthews Dr,2,TRUE,1,TRUE,,,,105000,105000,,1300,TRUE ,3200,TRUE,295,TRUE ,TRUE 
Newark,NJ,Tony Weeks,21-23 Freeman St B1,2,TRUE,2,TRUE,,1150,TRUE ,188000,188000,,1300,TRUE ,1476,TRUE,275,TRUE ,TRUE 
Newark,NJ,Tony Weeks,54-60 McWhorter St 305,1,TRUE,1,TRUE,,,,189900,189900,,1100,TRUE ,1860,TRUE,200,TRUE ,TRUE 
Newark,NJ,Tony Weeks,54 Polk St N3,2,TRUE,2,TRUE,,1164,TRUE ,219000,219000,,1300,TRUE ,3000,TRUE,286,TRUE ,TRUE 
Newark,NJ,Tony Weeks,37-39 Freeman St B1,2,TRUE,2,TRUE,,1150,TRUE ,229000,229000,,1300,TRUE ,5454,TRUE,356,TRUE ,TRUE 
Newark,NJ,Tony Weeks,63-69 Rome St 2D,2,TRUE,1,TRUE,,,,229900,229900,,1200,TRUE ,6595,TRUE,200,TRUE ,TRUE 
Newark,NJ,Tony Weeks,15 Gotthart St 4,2,TRUE,1,TRUE,,1051,TRUE ,259000,259000,,1200,TRUE ,5355,TRUE,199,TRUE ,TRUE 
Newark,NJ,Tony Weeks,88 St Francis St 3C,2,TRUE,2,TRUE,,1180,TRUE ,319000,319000,,1300,TRUE ,2870,TRUE,212,TRUE ,TRUE 
Newark,NJ,Tony Weeks,411-419 Chestnut St 2A,2,TRUE,2,TRUE,,1240,TRUE ,340000,340000,,1400,TRUE ,5898,TRUE,326,TRUE ,TRUE 
Newark,NJ,Tony Weeks,411-419 Chestnut St 3B,2,TRUE,2,TRUE,,1275,TRUE ,370000,370000,,1400,TRUE ,5717,TRUE,250,TRUE ,TRUE 
