city,state,zipcode,agent,address,beds,baths,parking_units,sqft,sqft_type,list_price,closing_price,last_sold_date,listing_type,rent_price,rent_price_type,taxes_annual,taxes_annual_type,maintenance,maintenance_type,price_per_sqft,rent_per_sqft,taxpercent,maint_percent,caprate,target_price
Perth Amboy,NJ,08861,Paul Misura,702 Harbortown blvd,3,2.5,2,"1,685",TRUE,"$225,000","$198,000",11/22/13,Normal  ,"$1,650.00",TRUE,6164,TRUE,$250.00,TRUE,$117.51,$0.98,3.10%,1.52%,5.40%,"$106,360.00"
Perth Amboy,NJ,08861,Paul Misura,750 Harbortown Blvd,3,2.5,2,"1,685",TRUE,"$185,000","$170,000",,Short Sale  ,"$1,800.00",TRUE,6164,TRUE,$221.00,TRUE,$100.89,$1.07,3.60%,1.56%,7.50%,"$127,840.00"
Perth Amboy,NJ,08861,Paul Misura,778 Harbortown Blvd,3,2.5,2,"1,685",TRUE,"$209,900","$199,405",,Normal  ,"$1,650.00",TRUE,6106,TRUE,$221.00,TRUE,$118.34,$0.98,3.10%,1.33%,5.50%,"$110,420.00"
Perth Amboy,NJ,08861,Paul Misura,768 Harbortown Blvd,3,2.5,0,"1,600",TRUE,"$160,000","$160,000",7/26/13,Normal  ,"$1,650.00",TRUE,6164,TRUE,$230.67,FALSE,$100.00,$1.03,3.90%,1.73%,6.80%,"$108,680.00"
Perth Amboy,NJ,08861,Paul Misura,432 Great Beds ct,2,2.5,0,"1,435",TRUE,"$145,000","$145,000",4/9/13,Normal  ,"$1,500.00",TRUE,6566,TRUE,$230.67,FALSE,$101.05,$1.05,4.50%,1.91%,6.00%,"$86,660.00"
Perth Amboy,NJ,08861,Paul Misura,550 Great Beds Ct,3,2.5,2,"1,404",TRUE,"$199,000","$189,050",,Short Sale  ,"$1,600.00",TRUE,6968,TRUE,$225.00,TRUE,$134.65,$1.14,3.70%,1.43%,5.00%,"$95,320.00"
Perth Amboy,NJ,08861,Paul Misura,578 Great Beds Ct,3,2.5,2,"1,404",TRUE,"$169,500","$185,000",,Foreclosure  ,"$1,600.00",TRUE,6968,TRUE,$221.00,TRUE,$131.77,$1.14,3.80%,1.43%,5.20%,"$95,800.00"
Perth Amboy,NJ,08861,Paul Misura,446 Great Beds ct,3,2,2,"1,403",TRUE,"$189,000","$189,000",,Foreclosure  ,"$1,600.00",TRUE,6968,TRUE,$210.00,TRUE,$134.71,$1.14,3.70%,1.33%,5.10%,"$97,120.00"
Perth Amboy,NJ,08861,Paul Misura,518 Great Beds Ct,2,2.5,2,"1,283",TRUE,"$211,910","$211,910",,Normal  ,"$1,500.00",TRUE,6164,FALSE,$226.17,FALSE,$165.17,$1.17,2.91%,1.28%,4.30%,"$91,220.00"
Perth Amboy,NJ,08861,Paul Misura,480 Great Beds ct,3,2.5,2,"1,404",TRUE,"$350,000","$350,000",9/1/13,Normal  ,"$1,695.00",TRUE,7236,TRUE,$210.00,TRUE,$249.29,$1.21,2.10%,0.72%,3.00%,"$105,840.00"
Perth Amboy,NJ,08861,Paul Misura,474 Great Beds Ct,2,2.5,1,"1,132",TRUE,"$235,000","$223,250",,Normal  ,"$1,400.00",TRUE,6164,TRUE,$221.00,TRUE,$197.22,$1.24,2.80%,1.19%,3.60%,"$79,840.00"
Perth Amboy,NJ,08861,Paul Misura,482 Great Beds Ct,2,1.5,2,"1,132",TRUE,"$215,000","$204,250",,Normal  ,"$1,400.00",TRUE,6164,TRUE,$160.00,TRUE,$180.43,$1.24,3.00%,0.94%,4.30%,"$87,160.00"
Perth Amboy,NJ,08861,Paul Misura,203 Holly Drive,3,2.5,2,"1,578",TRUE,"$289,000","$289,000",,Normal  ,"$1,578.57",FALSE,3759,TRUE,$206.00,TRUE,$183.14,$1.00,1.30%,0.86%,4.40%,"$127,118.31"
Perth Amboy,NJ,08861,Paul Misura,204 Hidden Village,3,2.5,0,"1,440",TRUE,"$140,000","$133,000",,Short Sale  ,"$1,440.52",FALSE,6383,TRUE,$300.00,TRUE,$92.36,$1.00,4.80%,2.71%,5.50%,"$73,032.34"
Perth Amboy,NJ,08861,Paul Misura,306 Holly Drive,3,2.5,2,"1,578",TRUE,"$159,900","$159,900",,Normal  ,"$1,578.57",FALSE,6148,TRUE,$335.00,TRUE,$101.33,$1.00,3.80%,2.51%,5.50%,"$87,748.31"
Perth Amboy,NJ,08861,Paul Misura,368 Rector St Apt 519,3,2.5,1,"2,058",TRUE,"$162,900","$145,000",1/24/13,Normal  ,"$1,750.00",TRUE,7894,TRUE,$463.00,TRUE,$70.46,$0.85,5.40%,3.83%,5.20%,"$75,500.00"
Perth Amboy,NJ,08861,Paul Misura,403 Holly Drive,3,2.5,2,"1,100",TRUE,"$289,900","$289,900",,Normal  ,"$1,100.40",FALSE,5390,TRUE,$300.00,TRUE,$263.55,$1.00,1.90%,1.24%,1.50%,"$42,147.62"
Perth Amboy,NJ,08861,Paul Misura,405 Holly Drive,3,2.5,2,"1,578",TRUE,"$135,000","$135,000",12/18/12,Normal  ,"$1,578.57",FALSE,6879,TRUE,$335.00,TRUE,$85.55,$1.00,5.10%,2.98%,6.00%,"$80,438.31"
